id,english,japanese,romanji,type,category,format,level
2319,sculpture,彫刻,chōkoku,n,,,N1
2320,responsibility,責任感,sekinin,n,,,N3
2321,rich person,お金持ち,okanemochi,n,,,N4
2322,deposit,預金,yokin,n,,,N2
2323,bank account,口座,kōza,n,,,N3
2324,code,暗証,anshō,n,,,N1
2325,form/paper,用紙,yōshi,n,,,N4
2326,printing,印刷,insatsu,n,,,N2
2327,finance,金融,kin'yū,n,,,N1
2328,rapid,急速,kyūsoku,n,,,N3
2329,development/advancement,発展,hatten,n,,,N1
2330,accountant,会計士,kaikeishi,n,job,,N1
2331,balance,残高,zandaka,n,,,N3
2332,currency exchange,両替,ryōgae,n,,,N2
2333,best friend,親友,shin'yū,n,,,N4
2334,beach,浜辺,hamabe,n,,,N1
2335,wave,波,nami,n,,,N2
2336,shallow,浅い,asai,adj,,I,N2
2337,separately,別々,betsubetsu,,,,N4
2338,look at,眺む,nagamu,v,,godan,N1
2339,view,眺める,nagameru,v,,ichidan,N1
2340,claim,請求,seikyū,n,,,N1
2341,invoice,請求書,seikyū-sho,n,,,N1
2342,cash,現金,genkin,n,,,N3
2343,check/cheque,小切手,kogitte,n,,,N4
2344,receipt,領収書,ryōshū-sho,n,,,N2
2345,year-end party,忘年会,bōnenkai,n,,,N3
2346,unbearable/intolerable,堪らない,tamaranai,adj,,I,N1
2347,sad/deep sorrow,哀しい,kanashī,adj,,I,N1
2348,pass/lapse,経つ,tatsu,v,,godan,N3
2349,service,サービス,sābisu,n,,,K
2350,toll/paid/fee based,有料,yūryō,n,,,N4
2351,way/mean,仕方,shikata,n,,,N4
2352,both,両方,ryōhō,,,,N3
2353,such/like this,そういう,souiu,,,,H
2354,shiny,ピカピカ,pikapika,adj,,NA,K
2355,faucet,蛇口,jaguchi,n,,,N1
2356,be wounded,傷つく,kizutsuku,v,,godan,N1
2357,forearm,前腕,zenwan,n,body part,,N2
2358,guide,導く,michibiku,v,,godan,N2
2359,Japanese food,和食,washoku,n,,,N3
2360,polite,丁寧,teinei,adj,,NA,N1
2361,surely not/no way,まさか,masaka,,,,H
2362,pollution/contamination,汚染,osen,n,,,N1
2363,situation,状況,jōkyō,n,,,N2
2364,essence,本質,honshitsu,n,,,N4
2365,future,未来,mirai,n,,,N3
2366,avoid,避ける,yokeru,v,,ichidan,N1
2367,quality,質,shitsu,n,,,N4
2368,quanlity/amount,量,ryō,n,,,N2
2369,authentic,本場,honba,adj,,NA,N4
2370,funds/capital,資金,shikin,n,,,N3
2371,privacy/secrecy,内密,naimitsu,n,,,N1
2372,bug/insect/cricket,虫,mushi,n,animal,,N2
2373,bee,蜂,hachi,n,animal,,N1
2374,approach/get close,近づく,chikadzuku,v,,godan,N4
2375,wolf,オオカミ,ookami,n,animal,,K
2376,latest,最新,saishin,n,,,N3
2377,form/shape,形,katachi,n,,,N3
2378,wild,野生,yosei,adj,,NA,N4
2379,effective,効果的,kōka-teki,adj,,NA,N2
2380,in detail,詳しく,kuwashiku,,,,N1
2381,detailed/accurate/full,詳しい,kuwashī,adj,,I,N1
2382,state/appearance/situation,様子,yōsu,n,,,N3
2383,suspicious/odd/strange,可怪しい,okashii,adj,,I,N1
2384,discount/price reduction,値引き,nebiki,n,,,N3
2385,large amount/bulk,大量,tairyō,n,,,N2
2386,fossil,化石,kaseki,n,,,N3
2387,bean,豆,mame,n,food,,N1
2388,by chance,たまたま,tamatama,,,,H
2389,greengrocer/produce market,八百屋,yaoya,n,,,N4
2390,musical program,演目,enmoku,n,,,N3
2391,cover,表紙,hyōshi,n,,,N3
2392,soymilk,豆乳,tōnyū,n,,,N1
2393,chop/mince,刻む,kizamu,v,,,N3
2394,mild/mellow,まろやか,maroyaka,adj,,NA,H
2395,fine,細かい,komakai,adj,,I,N2
2396,mix/stir,混ぜる,mazeru,v,,ichidan,N2
2397,lid/cover,蓋,futa,n,,,N1
2398,kettle,やかん,yakan,n,,,H
2399,boil/heat,沸かす,wakasu,v,,godan,N2
2400,soft/tender/limp,柔らかい,yawarakai,adj,,I,N2
2401,compare,比べる,kuraberu,v,,ichidan,N2
2402,experienced person,経験者,keiken-sha,n,,,N3
2403,see through,見抜く,minuku,v,,godan,N3
2404,seasoning,調味料,chōmiryō,n,,,N3
2405,treatment/service,扱い,atsukai,n,,,N1
2406,odor/smell/scent,匂い,nioi,n,,,N2
2407,taste/mouthfeel,口当たり,kuchiatari,n,,,N3
2408,especially,特に,tokuni,,,,N4
2409,market price,相場,sōba,n,,,N3
2410,price,価格,kakaku,n,,,N1
2411,injury/hurt,怪我,kega,n,,,N1
2412,nature,天然,tennen,n,,,N3
2413,oil,石油,sekiyu,n,,,N2
2414,scale,規模,kibo,n,,,N1
2415,usage/utilization,使用,shiyō,n,,,N4
2416,enormous/vast,莫大,bakudai,adj,,NA,N2
2417,match,敵う,kanau,v,,godan,N1
2418,property/ownership,所有,shoyū,n,,,N3
2419,desperate,必死,hisshi,adj,,NA,N3
2420,possible,可能,kanō,adj,,NA,N2
2421,one's way/own convenience,勝手,katte,n,,,N3
2422,control/management,管理,kanri,n,,,N2
2423,revision,改定,kaitei,n,,,N2
2424,burn,燃える,moeru,v,,ichidan,N2
2425,reaction,反応,han'nō,n,,,N1
2426,physics,物理学,butsurigaku,n,,,N4
2427,geology,地質学,chishitsu-gaku,n,,,N4
2428,scale,量り,hakari,n,,,N2
2429,width,幅,haba,n,,,N2
2430,see,覧る,miru,v,honorific,ichidan,N1
2431,complex/complicated,複雑,fukuzatsu,adj,,NA,N2
2432,theory,理論,riron,n,,,N3
2433,diagram/figure,図,zu,n,,,N4
2434,plastic,プラスチック,purasuchikku,n,material,,K
2435,energy,エネルギー,enerugī,n,,,K
2436,daughter/young lady,お嬢さん,ojōsan,n,family,,N1
2437,development,開発,kaihatsu,n,,,N4
2438,unclear/unknown,不明,fumei,adj,,,N4
2439,correspondence/support,対応,taiō,n,,,N1
2440,minimum,最低限,saiteigen,n,,,N2
2441,perfection/completeness,完全,kanzen,n,,,N3
2442,prototype,試作品,shisaku-hin,n,,,N4
2443,recycle,リサイクル,risaikuru,n,,,K
2444,arrest,逮捕,taiho,n,,,N1
2445,clearly/obviously,明らか,akiraka,,,,N5
2446,doubt/suspect,疑う,utagau,v,,godan,N3
2447,eventually/in the end,結局,kekkyoku,,,,N1
2448,opposition,反対,hantai,n,,,N3
2449,Jewish,ユダヤ,judaya,n,religion,,K
2450,Hindu,ヒンドゥー,hindoū,n,religion,,K
2451,Islam,イスラム,isuramu,n,religion,,K
2452,Christian,キリスト,kirisuto,n,religion,,K
2453,seatbelt,シートベルト,shītoberuto,n,,,K
2454,Buddism,仏教,bukkyō,n,religion,,N2
2455,visa,ビザ,biza,n,,,K
2456,suffer,苦しむ,kurushimu,n,,,N3
2457,law,法律,hōritsu,n,,,N2
2458,consultation/discussion,相談,sōdan,n,,,N3
2459,tear,涙,namida,n,,,N2
2460,preparation,予習,yoshū,n,,,N3
2461,fluent,ペラペラ,perapera,adj,,NA,K
2462,carry (on back),背負う,seou,v,,godan,N3
2463,physical condition,体調,taichō,n,,,N3
2464,equivalent,相当,sōtō,n,,,N3
